,X_Ray_Class,X_Ray_Intensity,NOAA_Number_flare,Date_x,magnetic_classification,NOAA,zurich_class,penumbra_class,compactness_class,No_of_spots,longitudanal_extent,Area,Status
57,,,,2000-03-30 08:28:00, B  ,8934,C,R,O,3.0,4.0,10.0,Unassociated
58,,,,2000-04-02 01:30:00, A  ,8929,H,S,X,1.0,1.0,10.0,Unassociated
59,,,,2000-04-02 15:30:00, B  ,8942,C,A,O,14.0,6.0,50.0,Unassociated
60,,,,2000-04-06 12:51:00, B  ,8950,B,X,O,2.0,8.0,10.0,Unassociated
61,,,,2000-04-07 14:33:00, A  ,8932,A,X,X,1.0,1.0,20.0,Unassociated
62,,,,2000-04-08 05:27:00, A  ,8943,A,X,X,1.0,2.0,30.0,Unassociated
63,,,,2000-04-09 01:15:00, A  ,8952,H,S,X,1.0,1.0,10.0,Unassociated
64,,,,2000-04-09 01:15:00, B  ,8945,C,S,O,2.0,2.0,20.0,Unassociated
65,,,,2000-04-09 12:12:00, A  ,8944,A,X,X,2.0,1.0,10.0,Unassociated
66,,,,2000-04-13 15:28:00, B  ,8954,B,X,O,4.0,6.0,20.0,Unassociated
67,,,,2000-04-16 01:00:00, B  ,8956,B,X,O,9.0,7.0,20.0,Unassociated
68,,,,2000-04-17 15:47:00, A  ,8960,H,S,X,1.0,1.0,20.0,Unassociated
69,,,,2000-04-17 15:47:00, A  ,8961,A,X,X,2.0,2.0,60.0,Unassociated
70,,,,2000-04-18 01:47:00, A  ,8949,H,S,X,1.0,2.0,60.0,Unassociated
71,,,,2000-04-19 17:30:00, A  ,8951,H,S,X,1.0,1.0,30.0,Unassociated
72,,,,2000-04-20 15:06:00, A  ,8953,A,X,X,2.0,2.0,20.0,Unassociated
73,,,,2000-04-22 01:05:00, B  ,8958,C,S,O,5.0,3.0,50.0,Unassociated
74,,,,2000-04-24 05:26:00, A  ,8962,H,S,X,1.0,1.0,20.0,Unassociated
75,,,,2000-04-28 01:20:00, B  ,8973,B,X,O,2.0,5.0,30.0,Unassociated
76,,,,2000-04-28 01:20:00, B  ,8968,B,X,O,3.0,5.0,30.0,Unassociated
77,,,,2000-05-05 11:34:00, B  ,8978,B,X,O,2.0,8.0,10.0,Unassociated
78,,,,2000-05-06 01:00:00, B  ,8985,B,X,O,4.0,3.0,20.0,Unassociated
79,,,,2000-05-07 14:55:00, A  ,8981,A,X,X,2.0,1.0,10.0,Unassociated
80,,,,2000-05-07 14:55:00, B  ,8984,B,X,O,3.0,3.0,10.0,Unassociated
81,,,,2000-05-09 11:15:00, A  ,8980,A,X,X,2.0,1.0,10.0,Unassociated
82,,,,2000-05-10 08:16:00, B  ,8987,C,R,O,2.0,4.0,10.0,Unassociated
83,,,,2000-05-11 01:47:00, B  ,8986,D,A,I,18.0,7.0,180.0,Unassociated
84,,,,2000-05-15 01:25:00, B  ,9000,B,X,O,2.0,2.0,10.0,Unassociated
85,,,,2000-05-16 02:00:00, B  ,9005,B,X,O,3.0,2.0,10.0,Unassociated
86,,,,2000-05-16 02:00:00, B  ,9001,C,S,O,3.0,3.0,20.0,Unassociated
87,,,,2000-05-17 15:15:00, A  ,8992,A,X,X,1.0,1.0,10.0,Unassociated
88,,,,2000-05-17 15:15:00, A  ,9008,A,X,X,1.0,1.0,10.0,Unassociated
89,,,,2000-05-17 15:15:00, A  ,8994,A,X,X,1.0,1.0,20.0,Unassociated
90,,,,2000-05-18 01:15:00, B  ,8997,B,X,O,3.0,6.0,10.0,Unassociated
91,,,,2000-05-18 01:15:00, B  ,9007,C,R,O,2.0,2.0,10.0,Unassociated
92,,,,2000-05-18 12:53:00, B  ,9003,B,X,O,6.0,7.0,10.0,Unassociated
93,,,,2000-05-21 01:15:00, B  ,9012,B,X,O,3.0,2.0,10.0,Unassociated
94,,,,2000-05-22 06:42:00, B  ,9013,C,S,O,2.0,3.0,40.0,Unassociated
95,,,,2000-05-26 14:25:00, B  ,9009,B,X,O,3.0,5.0,10.0,Unassociated
96,,,,2000-05-27 16:42:00, A  ,9016,A,X,X,1.0,1.0,10.0,Unassociated
97,,,,2000-05-30 07:25:00, A  ,9021,A,X,X,3.0,2.0,10.0,Unassociated
98,,,,2000-05-30 07:25:00, B  ,9020,C,R,O,3.0,4.0,10.0,Unassociated
99,,,,2000-05-31 12:56:00, B  ,9018,B,X,O,2.0,3.0,10.0,Unassociated
100,,,,2000-06-01 07:15:00, B  ,9025,C,R,O,2.0,7.0,30.0,Unassociated
101,,,,2000-06-02 19:07:00, A  ,9022,A,X,X,1.0,1.0,10.0,Unassociated
102,,,,2000-06-03 01:50:00, B  ,9023,B,X,O,5.0,5.0,20.0,Unassociated
103,,,,2000-06-03 01:50:00, B  ,9027,B,X,O,3.0,2.0,10.0,Unassociated
104,,,,2000-06-04 00:46:00, B  ,9029,C,R,O,3.0,3.0,30.0,Unassociated
105,,,,2000-06-14 12:31:00, B  ,9032,B,X,O,3.0,10.0,10.0,Unassociated
106,,,,2000-06-14 14:42:00, B  ,9043,B,X,O,2.0,2.0,10.0,Unassociated
107,,,,2000-06-16 00:59:00, B  ,9038,C,R,O,3.0,1.0,30.0,Unassociated
108,,,,2000-06-17 05:43:00, B  ,9044,C,S,O,3.0,3.0,120.0,Unassociated
109,,,,2000-06-17 13:05:00, A  ,9035,H,S,X,1.0,1.0,60.0,Unassociated
110,,,,2000-06-18 07:15:00, A  ,9037,H,R,X,1.0,1.0,10.0,Unassociated
111,,,,2000-06-18 12:30:00, B  ,9047,B,X,O,4.0,3.0,10.0,Unassociated
112,,,,2000-06-18 15:14:00, B  ,9045,B,X,O,3.0,3.0,10.0,Unassociated
113,,,,2000-06-20 10:15:00, A  ,9053,H,R,X,1.0,1.0,10.0,Unassociated
114,,,,2000-06-23 15:38:00, A  ,9052,H,S,X,1.0,2.0,120.0,Unassociated
115,,,,2000-06-24 05:45:00, A  ,9050,H,S,X,1.0,2.0,60.0,Unassociated
116,,,,2000-06-27 13:05:00, B  ,9060,B,X,O,2.0,3.0,10.0,Unassociated
117,,,,2000-07-03 01:10:00, A  ,9055,H,R,X,1.0,1.0,10.0,Unassociated
118,,,,2000-07-03 01:10:00, A  ,9056,H,S,X,1.0,2.0,110.0,Unassociated
119,,,,2000-07-04 13:50:00, A  ,9057,H,S,X,1.0,2.0,120.0,Unassociated
120,,,,2000-07-05 14:49:00, A  ,9063,A,X,X,2.0,1.0,10.0,Unassociated
121,,,,2000-07-06 05:03:00, A  ,9061,H,S,X,1.0,1.0,20.0,Unassociated
122,,,,2000-07-07 01:07:00, B  ,9065,B,X,O,2.0,1.0,10.0,Unassociated
123,,,,2000-07-07 19:20:00, A  ,9075,H,S,X,1.0,1.0,30.0,Unassociated
124,,,,2000-07-11 12:02:00, B  ,9072,D,S,O,3.0,5.0,40.0,Unassociated
125,,,,2000-07-11 15:05:00, B  ,9083,B,X,O,2.0,3.0,10.0,Unassociated
126,,,,2000-07-12 17:58:00, B  ,9076,B,X,O,2.0,4.0,10.0,Unassociated
127,,,,2000-07-13 12:36:00, B  ,9074,B,X,O,3.0,3.0,10.0,Unassociated
128,,,,2000-07-13 12:36:00, B  ,9078,C,A,O,5.0,7.0,20.0,Unassociated
129,,,,2000-07-18 12:00:00, B  ,9093,C,S,O,2.0,3.0,10.0,Unassociated
130,,,,2000-07-19 18:30:00, BG ,9089,E,K,C,30.0,15.0,470.0,Unassociated
131,,,,2000-07-20 13:30:00, A  ,9092,A,X,X,1.0,1.0,20.0,Unassociated
