,index,Wilson Magnetic Classification,NOAA_Number_spots,Zurich Class,penumbra Class,Compactness Class,Number of Spots,Longitudanal extent,Area,Date_x,X_Ray_Class,X_Ray_Intensity,Integrated_Flux,NOAA_Number_flare,Date_y,Status
223,57191, A  ,9275,A,X,X,2.0,1.0,10.0,2000-12-18 12:32:00,,,,,,Unassociated
224,57389, B  ,9273,B,X,O,5.0,4.0,10.0,2000-12-21 15:38:00,,,,,,Unassociated
225,57800, A  ,9281,A,X,X,3.0,1.0,10.0,2000-12-23 15:45:00,,,,,,Unassociated
226,57661, B  ,9284,C,S,O,4.0,3.0,20.0,2000-12-24 00:30:00,,,,,,Unassociated
227,57231, A  ,9268,H,S,X,1.0,1.0,60.0,2000-12-26 00:20:00,,,,,,Unassociated
228,59656, B  ,9288,D,R,O,2.0,3.0,10.0,2000-12-26 12:42:00,,,,,,Unassociated
229,59649, A  ,9286,H,R,X,1.0,1.0,10.0,2000-12-26 12:42:00,,,,,,Unassociated
230,59653, B  ,9287,D,R,O,4.0,5.0,20.0,2000-12-26 12:42:00,,,,,,Unassociated
231,58261, A  ,9282,H,S,X,1.0,1.0,10.0,2000-12-31 01:55:00,,,,,,Unassociated
232,60582, A  ,9292,A,X,X,2.0,1.0,10.0,2001-01-06 00:30:00,,,,,,Unassociated
233,60603, B  ,9293,C,S,O,2.0,2.0,10.0,2001-01-06 15:10:00,,,,,,Unassociated
234,60574, A  ,9291,H,S,X,1.0,1.0,30.0,2001-01-07 12:35:00,,,,,,Unassociated
235,60757, B  ,9299,B,X,O,2.0,2.0,10.0,2001-01-07 16:34:00,,,,,,Unassociated
236,60730, B  ,9300,B,X,O,4.0,3.0,10.0,2001-01-08 00:25:00,,,,,,Unassociated
237,60747, A  ,9297,H,S,X,1.0,1.0,30.0,2001-01-09 01:47:00,,,,,,Unassociated
238,61112, A  ,9303,A,X,X,1.0,2.0,30.0,2001-01-09 12:32:00,,,,,,Unassociated
239,60754, A  ,9298,A,X,X,1.0,1.0,10.0,2001-01-09 12:32:00,,,,,,Unassociated
240,61150, A  ,9305,H,R,X,1.0,1.0,10.0,2001-01-12 08:14:00,,,,,,Unassociated
241,60677, A  ,9295,H,S,X,1.0,1.0,20.0,2001-01-12 16:15:00,,,,,,Unassociated
242,60720, B  ,9296,C,S,O,2.0,2.0,30.0,2001-01-14 13:10:00,,,,,,Unassociated
243,61170, A  ,9309,A,X,X,1.0,1.0,20.0,2001-01-15 17:12:00,,,,,,Unassociated
244,61681, B  ,9314,B,X,O,3.0,2.0,10.0,2001-01-19 01:30:00,,,,,,Unassociated
245,62397, B  ,9315,C,S,O,2.0,8.0,40.0,2001-01-19 16:12:00,,,,,,Unassociated
246,61697, A  ,9310,A,X,X,2.0,1.0,10.0,2001-01-19 16:12:00,,,,,,Unassociated
247,62050, B  ,9312,B,X,O,3.0,4.0,10.0,2001-01-20 19:32:00,,,,,,Unassociated
